month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-04,Zaragoza,,7.4,AC,"0,35€/kWh",0.35,ok
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,22.0,AC,,,empty
2025-04,Zaragoza,,22.0,AC,,,empty
2025-04,Zaragoza,,11.0,AC,,,empty
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,22.0,AC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,50.0,DC,"0,49€/kh",0.49,ok
2025-04,Zaragoza,,43.0,DC,"0,49€/kh",0.49,ok
2025-04,Zaragoza,,50.0,DC,"0,49€/kh",0.49,ok
2025-04,Zaragoza,,7.4,AC,,,no_kwh
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,22.0,AC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,22.0,AC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-04,Zaragoza,,7.4,AC,,,empty
2025-04,Zaragoza,,2.3,AC,,,empty
2025-04,Zaragoza,,100.0,DC," 0,54€/kWh ",0.54,ok
2025-04,Zaragoza,,7.4,AC,free,,free
2025-04,Zaragoza,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,50.0,DC,0.5 €/kWh,0.5,ok
2025-04,Zaragoza,,50.0,DC,0.5 €/kWh,0.5,ok
2025-04,Zaragoza,,22.0,AC,0.5 €/kWh,0.5,ok
2025-04,Zaragoza,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-04,Zaragoza,,150.0,DC,"0,60€/kWh",0.6,ok
2025-04,Zaragoza,,150.0,DC,"0,54 €/kWh",0.54,ok
2025-04,Zaragoza,,80.0,DC,"0,54 €/kWh",0.54,ok
2025-04,Zaragoza,,100.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-04,Zaragoza,,43.0,DC,"0,45€/kWh ",0.45,ok
2025-04,Zaragoza,,7.4,AC,,,empty
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,22.0,AC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,50.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,50.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,43.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,150.0,DC,"0,54€/kWh DC 150kW - 0,45€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-04,Zaragoza,,80.0,DC,"0,54€/kWh DC 150kW - 0,45€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-04,Zaragoza,,50.0,DC,"0,54€/kWh DC 150kW - 0,45€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-04,Zaragoza,,50.0,DC,"0,54€/kWh DC 150kW - 0,45€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-04,Zaragoza,,22.0,AC,"0,54€/kWh DC 150kW - 0,45€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-04,Zaragoza,,22.0,AC,0.25€/kWh,0.25,ok
2025-04,Zaragoza,,22.0,AC,0.27€/kWh,0.27,ok
2025-04,Zaragoza,,22.0,AC,,,empty
2025-04,Zaragoza,,11.0,AC,,,empty
2025-04,Zaragoza,,22.0,AC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh 50kW - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,100.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,Zaragoza,,100.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,30€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,30€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,30€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,7.4,AC,"0,40€/kWh",0.4,ok
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,50.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,50.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,43.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,22.0,AC,"0,36€/kWh",0.36,ok
2025-04,Zaragoza,,3.7,AC,Free,,free
2025-04,Zaragoza,,11.0,AC,Free,,free
2025-04,Zaragoza,,7.0,AC,Free,,free
2025-04,Zaragoza,,120.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-04,Zaragoza,,11.0,AC,,,no_kwh
2025-04,Zaragoza,,60.0,DC,"0,47€/kWh",0.47,ok
2025-04,Zaragoza,,22.0,AC,"0,47€/kWh",0.47,ok
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,22.0,AC,"0,39€/kWh",0.39,ok
2025-04,Zaragoza,,22.0,AC,"0,39€/kWh",0.39,ok
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,7.4,AC,,,no_kwh
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,11.0,AC,,,empty
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,11.0,AC,,,empty
2025-04,Zaragoza,,22.0,AC,"0,17€/kWh",0.17,ok
2025-04,Zaragoza,,3.7,AC,"0,17€/kWh",0.17,ok
2025-04,Zaragoza,,7.4,AC,,,no_kwh
2025-04,Zaragoza,,7.5,AC,,,empty
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,7.4,AC,,,empty
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,22.0,AC,,,empty
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,120.0,DC,"0,54€/kWh",0.54,ok
2025-04,Zaragoza,,22.0,AC,"0,54€/kWh",0.54,ok
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,22.0,AC,"0,39€/kWh",0.39,ok
2025-04,Zaragoza,,100.0,DC,"0,54 €/kWh",0.54,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,7.0,AC,€0/kWh,,no_kwh
2025-04,Zaragoza,,2.3,AC,€0/kWh,,no_kwh
2025-04,Zaragoza,,22.0,AC,0.40€/kWh,0.4,ok
2025-04,Zaragoza,,100.0,DC,"0,55€/kWh",0.55,ok
2025-04,Zaragoza,,22.0,AC,"0,55€/kWh",0.55,ok
2025-04,Zaragoza,,50.0,DC,"0,55€/kWh",0.55,ok
2025-04,Zaragoza,,11.0,AC,,,empty
2025-04,Zaragoza,,7.4,AC,,,empty
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,22.0,AC,,,empty
2025-04,Zaragoza,,22.0,AC,"0,58€/kWh",0.58,ok
2025-04,Zaragoza,,150.0,DC,"0,60€/kWh",0.6,ok
2025-04,Zaragoza,,150.0,DC,"0,60€/kWh",0.6,ok
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,7.4,AC,,,no_kwh
2025-04,Zaragoza,,2.3,AC,,,no_kwh
2025-04,Zaragoza,,3.7,AC,free,,free
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,3.7,AC,free,,free
2025-04,Zaragoza,,22.0,AC,"0,41€/kWh",0.41,ok
2025-04,Zaragoza,,22.0,AC,5€/charge + parking fee,,no_kwh
2025-04,Zaragoza,,7.4,AC,"0,32€/kWh ",0.32,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,240.0,DC,"0,40€/kWh",0.4,ok
2025-04,Zaragoza,,150.0,DC,"0,57€/kWh DC / 0,36€/kWh AC",0.57,ok
2025-04,Zaragoza,,50.0,DC,"0,57€/kWh DC / 0,36€/kWh AC",0.57,ok
2025-04,Zaragoza,,7.0,AC,"0,57€/kWh DC / 0,36€/kWh AC",0.57,ok
2025-04,Zaragoza,,50.0,DC,Free,,free
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,50.0,DC," 0,47€/kWh",0.47,ok
2025-04,Zaragoza,,50.0,DC," 0,47€/kWh",0.47,ok
2025-04,Zaragoza,,43.0,DC," 0,47€/kWh",0.47,ok
2025-04,Zaragoza,,150.0,DC,"0,54€/kWh 80-200kW - 0,39€/kWh  AC",0.54,ok
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,8.0,AC,free,,free
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,3.7,AC,free,,free
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh  - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh  - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,22.0,AC,"0,45€/kWh  - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,7.4,AC,,,no_kwh
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,50.0,DC," 0,47€/kWh",0.47,ok
2025-04,Zaragoza,,50.0,DC," 0,47€/kWh",0.47,ok
2025-04,Zaragoza,,43.0,DC," 0,47€/kWh",0.47,ok
2025-04,Zaragoza,,100.0,DC,"0,45€/kWh",0.45,ok
2025-04,Zaragoza,,11.0,AC,,,empty
2025-04,Zaragoza,,3.7,AC,,,empty
2025-04,Zaragoza,,50.0,DC,0.52€/kWh ,0.52,ok
2025-04,Zaragoza,,50.0,DC,0.52€/kWh ,0.52,ok
2025-04,Zaragoza,,43.0,DC,0.52€/kWh ,0.52,ok
2025-04,Zaragoza,,50.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,50.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,43.0,DC,0.47€/kWh ,0.47,ok
2025-04,Zaragoza,,150.0,DC,"0,60€/kWh",0.6,ok
2025-04,Zaragoza,,25.0,DC,0.45€/kWh,0.45,ok
2025-04,Zaragoza,,25.0,DC,0.45€/kWh,0.45,ok
2025-04,Zaragoza,,22.0,AC,0.45€/kWh,0.45,ok
2025-04,Zaragoza,,22.0,AC,"0,39€/kWh",0.39,ok
2025-04,Zaragoza,,60.0,DC,"0,49€/kWh",0.49,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,120.0,DC,"0,54€/kWh ",0.54,ok
2025-04,Zaragoza,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-04,Zaragoza,,50.0,DC,,,no_kwh
2025-04,Zaragoza,,43.0,DC,,,no_kwh
2025-04,Zaragoza,,120.0,DC,"0,54€/kWh",0.54,ok
2025-04,Zaragoza,,150.0,DC,"0,59€/kWh DC - 0,39€/kWh AC",0.59,ok
2025-04,Zaragoza,,22.0,AC,"0,59€/kWh DC - 0,39€/kWh AC",0.59,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,4.59,AC,"0,45€/kW DC 60kW - 0,22€/kWh DC 13kW - 0,20€/kWh AC",0.22,ok
2025-04,Zaragoza,,13.0,AC,"0,45€/kW DC 60kW - 0,22€/kWh DC 13kW - 0,20€/kWh AC",0.22,ok
2025-04,Zaragoza,,13.0,AC,"0,45€/kW DC 60kW - 0,22€/kWh DC 13kW - 0,20€/kWh AC",0.22,ok
2025-04,Zaragoza,,62.0,DC,"0,45€/kW DC 60kW - 0,22€/kWh DC 13kW - 0,20€/kWh AC",0.22,ok
2025-04,Zaragoza,,7.4,AC,,,empty
2025-04,Zaragoza,,2.3,AC,,,empty
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,22.0,AC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,22.0,AC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,180.0,DC,"0,60€/kWh",0.6,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,43.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,170.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-04,Zaragoza,,25.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-04,Zaragoza,,150.0,DC,"0,60€/kWh",0.6,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,100.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-04,Zaragoza,,11.0,AC,"0,55€/kWh + parking fee",0.55,ok
2025-04,Zaragoza,,7.4,AC,,,no_kwh
2025-04,Zaragoza,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,7.4,AC,,,no_kwh
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC ",0.39,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC ",0.39,ok
2025-04,Zaragoza,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,300.0,DC," 0,55€/kWh DC - 0,40€/kWh AC ",0.55,ok
2025-04,Zaragoza,,150.0,DC," 0,55€/kWh DC - 0,40€/kWh AC ",0.55,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh",0.39,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh",0.39,ok
2025-04,Zaragoza,,50.0,DC,,,no_kwh
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,22.0,AC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-04,Zaragoza,,60.0,DC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,22.0,AC,,,no_kwh
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,6.0,AC,"0,25€/kWh + parking fee 12€/day",0.25,ok
2025-04,Zaragoza,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,100.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-04,Zaragoza,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,100.0,DC,0.44€/kWh ,0.44,ok
2025-04,Zaragoza,,7.4,AC,"0,38€/kWh + parking fee",0.38,ok
2025-04,Zaragoza,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,150.0,DC,"0,50€/kWh DC -  0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC -  0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,2.3,AC,,,empty
2025-04,Zaragoza,,150.0,DC,"0,46€/kWh",0.46,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-04,Zaragoza,,150.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-04,Zaragoza,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,3.6,AC,Gratis,,free
2025-04,Zaragoza,,22.0,AC,"0,22€/kWh",0.22,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,150.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-04,Zaragoza,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-04,Zaragoza,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-04,Zaragoza,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-04,Zaragoza,,22.0,AC," 0,20€/kWh ",0.2,ok
2025-04,Zaragoza,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,7.4,AC,"0,38€/kWh",0.38,ok
2025-04,Zaragoza,,22.0,AC,"0,35€/kWh",0.35,ok
2025-04,Zaragoza,,22.0,AC,"0,35€/kWh",0.35,ok
2025-04,Zaragoza,,7.4,AC,"0,38€/kWh",0.38,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,22.0,AC,"0,25€/kWh",0.25,ok
2025-04,Zaragoza,,3.7,AC,,,no_kwh
2025-04,Zaragoza,,22.0,AC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-04,Zaragoza,,7.4,AC,"0,39€/kWh",0.39,ok
2025-04,Zaragoza,,22.0,AC,"0,30€/kWh",0.3,ok
2025-04,Zaragoza,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-04,Zaragoza,,11.0,AC,Gratis,,free
2025-04,Zaragoza,,170.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-04,Zaragoza,,25.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-04,Zaragoza,,150.0,DC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-04,Zaragoza,,22.0,AC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,Zaragoza,,7.4,AC,"0,24€/kWh",0.24,ok
2025-04,Zaragoza,,7.4,AC,"0,30€/kWh + parking fee",0.3,ok
2025-04,Zaragoza,,2.3,AC,"0,30€/kWh + parking fee",0.3,ok
2025-04,Zaragoza,,7.4,AC,"0,24€/kWh",0.24,ok
2025-04,Zaragoza,,11.0,AC,,,empty
2025-04,Zaragoza,,11.0,AC,,,empty
2025-04,Zaragoza,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-04,Zaragoza,,7.4,AC,"0,24€/kWh",0.24,ok
2025-04,Zaragoza,,2.3,AC,"0,24€/kWh",0.24,ok
2025-04,Zaragoza,,7.4,AC,"0,24€/kWh",0.24,ok
2025-04,Zaragoza,,7.4,AC,"0,24€/kWh",0.24,ok
2025-04,Zaragoza,,22.0,AC,0.45 € / kWh,0.45,ok
