month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-06,Huesca,,11.0,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,11.0,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,0.39€/kWh + parking fee,0.39,ok
2025-06,Huesca,,150.0,DC," 0,55€/kWh",0.55,ok
2025-06,Huesca,,22.0,AC," 0,55€/kWh",0.55,ok
2025-06,Huesca,,11.0,AC,,,empty
2025-06,Huesca,,120.0,DC,"0,54€/kWh",0.54,ok
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,,,empty
2025-06,Huesca,,22.0,AC,"0,17€/kWh",0.17,ok
2025-06,Huesca,,3.7,AC,"0,17€/kWh",0.17,ok
2025-06,Huesca,,7.4,AC,,,no_kwh
2025-06,Huesca,,7.5,AC,,,empty
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,7.4,AC,,,empty
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,22.0,AC,,,empty
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,120.0,DC,"0,54€/kWh",0.54,ok
2025-06,Huesca,,22.0,AC,"0,54€/kWh",0.54,ok
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,100.0,DC,"0,54 €/kWh",0.54,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,7.0,AC,€0/kWh,,no_kwh
2025-06,Huesca,,2.3,AC,€0/kWh,,no_kwh
2025-06,Huesca,,22.0,AC,0.40€/kWh,0.4,ok
2025-06,Huesca,,100.0,DC,"0,55€/kWh",0.55,ok
2025-06,Huesca,,22.0,AC,"0,55€/kWh",0.55,ok
2025-06,Huesca,,50.0,DC,"0,55€/kWh",0.55,ok
2025-06,Huesca,,11.0,AC,,,empty
2025-06,Huesca,,7.4,AC,,,empty
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,,,empty
2025-06,Huesca,,22.0,AC,"0,58€/kWh",0.58,ok
2025-06,Huesca,,150.0,DC,"0,60€/kWh",0.6,ok
2025-06,Huesca,,150.0,DC,"0,60€/kWh",0.6,ok
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,7.4,AC,,,no_kwh
2025-06,Huesca,,2.3,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,free,,free
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,3.7,AC,free,,free
2025-06,Huesca,,22.0,AC,"0,41€/kWh",0.41,ok
2025-06,Huesca,,22.0,AC,5€/charge + parking fee,,no_kwh
2025-06,Huesca,,7.4,AC,"0,32€/kWh ",0.32,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,240.0,DC,"0,40€/kWh",0.4,ok
2025-06,Huesca,,150.0,DC,"0,57€/kWh DC / 0,36€/kWh AC",0.57,ok
2025-06,Huesca,,50.0,DC,"0,57€/kWh DC / 0,36€/kWh AC",0.57,ok
2025-06,Huesca,,7.0,AC,"0,57€/kWh DC / 0,36€/kWh AC",0.57,ok
2025-06,Huesca,,50.0,DC,Free,,free
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,50.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,50.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,43.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,150.0,DC,"0,54€/kWh 80-200kW - 0,39€/kWh  AC",0.54,ok
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,8.0,AC,free,,free
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,3.7,AC,free,,free
2025-06,Huesca,,50.0,DC,"0,45€/kWh  - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,50.0,DC,"0,45€/kWh  - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,22.0,AC,"0,45€/kWh  - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,7.4,AC,,,no_kwh
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,50.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,50.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,43.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,100.0,DC,"0,45€/kWh",0.45,ok
2025-06,Huesca,,11.0,AC,,,empty
2025-06,Huesca,,3.7,AC,,,empty
2025-06,Huesca,,50.0,DC,0.52€/kWh ,0.52,ok
2025-06,Huesca,,50.0,DC,0.52€/kWh ,0.52,ok
2025-06,Huesca,,43.0,DC,0.52€/kWh ,0.52,ok
2025-06,Huesca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,150.0,DC,"0,60€/kWh",0.6,ok
2025-06,Huesca,,25.0,DC,0.45€/kWh,0.45,ok
2025-06,Huesca,,25.0,DC,0.45€/kWh,0.45,ok
2025-06,Huesca,,22.0,AC,0.45€/kWh,0.45,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,120.0,DC,"0,54€/kWh ",0.54,ok
2025-06,Huesca,,50.0,DC,,,no_kwh
2025-06,Huesca,,43.0,DC,,,no_kwh
2025-06,Huesca,,120.0,DC,"0,54€/kWh",0.54,ok
2025-06,Huesca,,150.0,DC,"0,59€/kWh DC - 0,39€/kWh AC",0.59,ok
2025-06,Huesca,,22.0,AC,"0,59€/kWh DC - 0,39€/kWh AC",0.59,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,4.59,AC,"0,45€/kW DC 60kW - 0,22€/kWh DC 13kW - 0,20€/kWh AC",0.22,ok
2025-06,Huesca,,13.0,AC,"0,45€/kW DC 60kW - 0,22€/kWh DC 13kW - 0,20€/kWh AC",0.22,ok
2025-06,Huesca,,13.0,AC,"0,45€/kW DC 60kW - 0,22€/kWh DC 13kW - 0,20€/kWh AC",0.22,ok
2025-06,Huesca,,62.0,DC,"0,45€/kW DC 60kW - 0,22€/kWh DC 13kW - 0,20€/kWh AC",0.22,ok
2025-06,Huesca,,7.4,AC,,,empty
2025-06,Huesca,,2.3,AC,,,empty
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,30€/kWh",0.3,ok
2025-06,Huesca,,22.0,AC,"0,30€/kWh",0.3,ok
2025-06,Huesca,,22.0,AC,"0,30€/kWh",0.3,ok
2025-06,Huesca,,180.0,DC,"0,60€/kWh",0.6,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,43.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,170.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,25.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,150.0,DC,"0,60€/kWh",0.6,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,100.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,11.0,AC,"0,55€/kWh + parking fee",0.55,ok
2025-06,Huesca,,7.4,AC,,,no_kwh
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,7.4,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC ",0.39,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC ",0.39,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,300.0,DC," 0,55€/kWh DC - 0,40€/kWh AC ",0.55,ok
2025-06,Huesca,,150.0,DC," 0,55€/kWh DC - 0,40€/kWh AC ",0.55,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,50.0,DC,,,no_kwh
2025-06,Huesca,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,22.0,AC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,60.0,DC,"0,30€/kWh",0.3,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,22.0,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,6.0,AC,"0,25€/kWh + parking fee 12€/day",0.25,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,100.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,100.0,DC,0.44€/kWh ,0.44,ok
2025-06,Huesca,,7.4,AC,"0,38€/kWh + parking fee",0.38,ok
2025-06,Huesca,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,150.0,DC,"0,50€/kWh DC -  0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC -  0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,2.3,AC,,,empty
2025-06,Huesca,,150.0,DC,"0,46€/kWh",0.46,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,150.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,3.6,AC,Gratis,,free
2025-06,Huesca,,22.0,AC,"0,22€/kWh",0.22,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,150.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Huesca,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Huesca,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-06,Huesca,,22.0,AC," 0,20€/kWh ",0.2,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,7.4,AC,"0,38€/kWh",0.38,ok
2025-06,Huesca,,22.0,AC,"0,35€/kWh",0.35,ok
2025-06,Huesca,,22.0,AC,"0,35€/kWh",0.35,ok
2025-06,Huesca,,7.4,AC,"0,38€/kWh",0.38,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,22.0,AC,"0,30€/kWh",0.3,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,7.4,AC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,22.0,AC,"0,30€/kWh",0.3,ok
2025-06,Huesca,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-06,Huesca,,11.0,AC,Gratis,,free
2025-06,Huesca,,170.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,25.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,150.0,DC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-06,Huesca,,22.0,AC," 0,55€/kWh DC - 0,35€/kWh AC ",0.55,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,7.4,AC,"0,24€/kWh",0.24,ok
2025-06,Huesca,,7.4,AC,"0,30€/kWh + parking fee",0.3,ok
2025-06,Huesca,,2.3,AC,"0,30€/kWh + parking fee",0.3,ok
2025-06,Huesca,,7.4,AC,"0,24€/kWh",0.24,ok
2025-06,Huesca,,11.0,AC,,,empty
2025-06,Huesca,,11.0,AC,,,empty
2025-06,Huesca,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-06,Huesca,,7.4,AC,"0,24€/kWh",0.24,ok
2025-06,Huesca,,2.3,AC,"0,24€/kWh",0.24,ok
2025-06,Huesca,,7.4,AC,"0,24€/kWh",0.24,ok
2025-06,Huesca,,7.4,AC,"0,24€/kWh",0.24,ok
2025-06,Huesca,,22.0,AC,0.45 € / kWh,0.45,ok
2025-06,Huesca,,7.4,AC,"0,39€/kWh AC ",0.39,ok
2025-06,Huesca,,11.0,AC,"0,39€/kWh AC ",0.39,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,42€/kWh",0.42,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,14.0,AC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,7.4,AC,"0,40€/kWh",0.4,ok
2025-06,Huesca,,100.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,100.0,DC,"0,55€/kWh DC  - 0,42€/kwh DC <50 kW",0.55,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,7.4,AC,"0,24€/kWh",0.24,ok
2025-06,Huesca,,11.0,AC,"0,46€/kWh",0.46,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC,"0,25€/kWh",0.25,ok
2025-06,Huesca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,2.3,AC,0,,no_kwh
2025-06,Huesca,,7.4,AC,0,,no_kwh
2025-06,Huesca,,3.7,AC,,,no_kwh
2025-06,Huesca,,120.0,DC,"0,54€/kWh DC - 0,32€/kWh AC ",0.54,ok
2025-06,Huesca,,150.0,DC,"0,54€/kWh DC - 0,32€/kWh AC ",0.54,ok
2025-06,Huesca,,22.0,AC,"0,54€/kWh DC - 0,32€/kWh AC ",0.54,ok
2025-06,Huesca,,120.0,DC,"0,54€/kWh DC - 0,32€/kWh AC ",0.54,ok
2025-06,Huesca,,250.0,DC,,,empty
2025-06,Huesca,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-06,Huesca,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-06,Huesca,,43.0,DC," 0,47€/kWh ",0.47,ok
2025-06,Huesca,,300.0,DC,"0,60€/kWh DC - 0,39€/kWh AC ",0.6,ok
2025-06,Huesca,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-06,Huesca,,50.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,43.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,50.0,DC," 0,47€/kWh",0.47,ok
2025-06,Huesca,,320.0,DC,,,empty
2025-06,Huesca,,22.0,AC,,,empty
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,50.0,DC,,,empty
2025-06,Huesca,,22.0,AC,"0,35€/kWh",0.35,ok
2025-06,Huesca,,60.0,DC,"0,30€/kWh",0.3,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,150.0,DC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,22.0,AC," 0,50€/kWh DC - 0,35€/kWh AC ",0.5,ok
2025-06,Huesca,,7.4,AC,,,no_kwh
2025-06,Huesca,,11.0,AC,,,no_kwh
2025-06,Huesca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,50.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,43.0,DC,0.47€/kWh ,0.47,ok
2025-06,Huesca,,22.0,AC,"0,35€/kWh",0.35,ok
2025-06,Huesca,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-06,Huesca,,60.0,DC,"0,45€/kWh ",0.45,ok
2025-06,Huesca,,60.0,DC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-06,Huesca,,22.0,AC," 0,40€/kWh DC - 0,35€/kWh AC ",0.4,ok
2025-06,Huesca,,50.0,DC,"€0,47/kWh",,no_kwh
2025-06,Huesca,,50.0,DC,"€0,47/kWh",,no_kwh
2025-06,Huesca,,43.65,DC,"€0,47/kWh",,no_kwh
2025-06,Huesca,,22.0,AC,"0,39€/kWh",0.39,ok
2025-06,Huesca,,100.0,DC,"0,54€/kWh DC - 0,36€/kWh AC",0.54,ok
2025-06,Huesca,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-06,Huesca,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-06,Huesca,,43.0,DC," 0,47€/kWh ",0.47,ok
2025-06,Huesca,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-06,Huesca,,7.4,AC,"0,24€/kWh",0.24,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-06,Huesca,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
